"МАРКА","МОДЕЛ","L1-нови","L1-употр.","L1-други","L1e-нови","L1e-употр.","L1e-други","L1e-B-нови","L1e-B-употр.","L1e-B-други","L2-нови","L2-употр.","L2-други","L2e-нови","L2e-употр.","L2e-други","L2e-P-нови","L2e-P-употр.","L2e-P-други","L2e-U-нови","L2e-U-употр.","L2e-U-други","L3-нови","L3-употр.","L3-други","L3e-нови","L3e-употр.","L3e-други","L3e-A1-нови","L3e-A1-употр.","L3e-A1-други","L3e-A1E-нови","L3e-A1E-употр.","L3e-A1E-други","L3e-A1T-нови","L3e-A1T-употр.","L3e-A1T-други","L3e-A2-нови","L3e-A2-употр.","L3e-A2-други","L3e-A2E-нови","L3e-A2E-употр.","L3e-A2E-други","L3e-A2T-нови","L3e-A2T-употр.","L3e-A2T-други","L3e-A3-нови","L3e-A3-употр.","L3e-A3-други","L3e-A3E-нови","L3e-A3E-употр.","L3e-A3E-други","L3e-A3T-нови","L3e-A3T-употр.","L3e-A3T-други","L4-нови","L4-употр.","L4-други","L4e-нови","L4e-употр.","L4e-други","L5-нови","L5-употр.","L5-други","L5e-нови","L5e-употр.","L5e-други","L5e-A-нови","L5e-A-употр.","L5e-A-други","L5e-B-нови","L5e-B-употр.","L5e-B-други","L6e-нови","L6e-употр.","L6e-други","L6e-A-нови","L6e-A-употр.","L6e-A-други","L6e-B-нови","L6e-B-употр.","L6e-B-други","L6e-BP-нови","L6e-BP-употр.","L6e-BP-други","L6e-BU-нови","L6e-BU-употр.","L6e-BU-други","L7e-нови","L7e-употр.","L7e-други","L7e-A-нови","L7e-A-употр.","L7e-A-други","L7e-A1-нови","L7e-A1-употр.","L7e-A1-други","L7e-A2-нови","L7e-A2-употр.","L7e-A2-други","L7e-B-нови","L7e-B-употр.","L7e-B-други","L7e-B1-нови","L7e-B1-употр.","L7e-B1-други","L7e-B2-нови","L7e-B2-употр.","L7e-B2-други","L7e-C-нови","L7e-C-употр.","L7e-C-други","L7e-CP-нови","L7e-CP-употр.","L7e-CP-други","L7e-CU-нови","L7e-CU-употр.","L7e-CU-други","M1-нови","M1-употр.","M1-други","M2-нови","M2-употр.","M2-други","M3-нови","M3-употр.","M3-други","N1-нови","N1-употр.","N1-други","N2-нови","N2-употр.","N2-други","N3-нови","N3-употр.","N3-други","O1-нови","O1-употр.","O1-други","O2-нови","O2-употр.","O2-други","O3-нови","O3-употр.","O3-други","O4-нови","O4-употр.","O4-други","OT1-нови","OT1-употр.","OT1-други","OT2-нови","OT2-употр.","OT2-други","OT3-нови","OT3-употр.","OT3-други","OT4-нови","OT4-употр.","OT4-други","T-нови","T-употр.","T-други","неизвестна/друга-нови","неизвестна/друга-употр.","неизвестна/друга-други","общо-нови","общо-употр.","общо-други","общо-нови и употр."
"А.МЮЛЕР","А.МЮЛЕР 600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"АБЕЙ","АБЕЙ АВЕНТУРА 317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"АБЕЙ","АБЕЙ ГТС 415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"АБЕЙ","АБЕЙ ЛИНКЪЛН","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"АБИ","АБИ ДАЙСТАР","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"АБЛИНГЕР","АБЛИНГЕР А 150 Б","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"АВЕНТО","АВЕНТО РОЯЛ 495 ТЛ ЕКСЦЛ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"АГАДОС","АГАДОС ВЗ 26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"АГАДОС","АГАДОС ХЕНДИ 20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","3"
"АГАДОС","АГАДОС ХЕНДИ 28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
